title,ingredients,instructions,total_time,yields,site,image
Homemade Hobnob Cookies,,"['Place racks in upper and lower thirds of oven; preheat to 300°. Using an electric mixer, beat 1 cup (2 sticks) unsalted butter, room temperature, and 1 cup (200 g) sugar in a medium bowl, scraping down sides and bottom of bowl occasionally, until very fluffy and creamy, 6–8 minutes.', 'Add 2 Tbsp. whole milk, 2 tsp. honey, 2 tsp. Diamond Crystal or 1¼ tsp. Morton kosher salt, and 1 tsp. baking soda; beat until combined, about 1 minute. Add 1½ cups (188 g) all-purpose flour and 1½ cups (150 g) old-fashioned oats and fold in dry ingredients with a rubber spatula until combined and no dry streaks of flour remain (cookie dough will be stiff).', 'Using a #40 scoop (or 2 Tbsp.) and working one at a time, scoop out dough to make 8 cookies and place on a baking sheet lined with parchment paper, spacing about 2"" apart (cookies will spread as they bake). Repeat to make 8 more cookies and place on another parchment-lined baking sheet.', 'Bake cookies, rotating baking sheets top to bottom and front to back halfway through, until golden, 22–25 minutes. Remove baking sheets from oven. For more perfectly shaped cookies (no obligation!), working one at a time, place a glass or round cutter with a diameter larger than the cookies over or around them and scoot back and forth in a circular motion to push edges smooth, making a neat circle. Let cookies cool on baking sheets 10 minutes, then transfer to wire racks and let cool completely (the warm cookies will be fragile, but they will firm up as they cool). Repeat with remaining dough to make about 14 more cookies. Do Ahead: Cookies can be made 2 days ahead. Store tightly wrapped at a cool room temperature.', 'For chocolate-coated hobnobs, melt 3½ oz. (100 g) semisweet chocolate, coarsely chopped (about ½ cup), in a medium heatproof bowl set over a medium saucepan of simmer water (do not let bowl touch water), stirring often, until just melted and smooth. (Alternatively, place chocolate in a small microwave-safe bowl and microwave in 20-second bursts, stirring after each, until just melted and smooth, about 1 minute.) Remove bowl from heat. Working one at a time, dip bottoms of cookies in melted chocolate and place chocolate side up on a rimmed baking sheet. Chill until chocolate is firm, about 10 minutes. Editor’s note: This recipe for homemade hobnobs was first printed in our December 2016 issue and has since been updated for style and to include the chocolate glaze, reduce the baking soda, and increase the salt. Head this way for more easy cookie recipes →']",40,30 cookies,www.bonappetit.com,"https://assets.bonappetit.com/photos/68c2f4e31244226d9279dd33/16:9/w_4000,h_2250,c_limit/20250827_02_Hobnob%20Cookies_105_FINAL.jpg"
Chicken Breakfast Sausages,,"['Combine 2 lb. ground chicken, 1 Tbsp. Diamond Crystal or 1¾ tsp. Morton kosher salt, 1 Tbsp. fennel seeds, 1 Tbsp. pure maple syrup, 2 tsp. smoked paprika, 1 tsp. garlic powder, and ½ tsp. crushed red pepper flakes in a large bowl; season with freshly ground black pepper. Mix vigorously to combine. Divide mixture into 10 portions, roll into balls, and place on a plate or baking sheet. Chill balls at least 10 minutes.', 'Heat 1 Tbsp. extra-virgin olive oil in a large skillet, preferably cast iron, over medium. Working in 3 batches, arrange meatballs in pan; press into patties with an oiled flat-bottomed measuring cup. Cook, adjusting heat as needed to keep patties from browning too quickly and turning halfway through, until deeply browned and cooked through, about 5 minutes total. Transfer to plates.', 'Do Ahead: Balls can be formed 1 day ahead. Cover and keep chilled.']",25,10 items,www.bonappetit.com,"https://assets.bonappetit.com/photos/6855a78bc5436aff8addf2ee/16:9/w_4992,h_2808,c_limit/chicken-breakfast-sausage-patties_RECIPE_V2_051525_2939_VOG_final.jpg"
Tomato Aguachile,,"['Stir 1 garlic clove, finely chopped, ½ cup fresh lime juice, 2 tsp. adobo sauce from a can of chipotle chiles in adobo, 1½ tsp. sugar, and ½ tsp. Diamond Crystal or ¼ tsp. Morton kosher salt in a small bowl until sugar and salt are dissolved. (Dressing should taste like spicy limeade.)', 'Arrange 1 Persian cucumber, quartered lengthwise, sliced on a diagonal 1"" thick, ½ small red onion, thinly sliced, ½ avocado, halved crosswise, sliced, and 8 oz. mixed tomatoes, halved, cut into ½""-thick wedges if large, in a medium shallow bowl and season lightly with salt. Pour dressing over and chill 15 minutes to marinate (don’t go any longer as vegetables will release too much liquid).', 'Taste tomato aguachile and add more sugar and/or season with more salt if needed. Drizzle 2 Tbsp. extra-virgin olive oil over and scatter ½ medium jalapeño, thinly sliced into rounds, on top. Serve with tostadas or tortilla chips on the side for scooping.']",20,4 servings,www.bonappetit.com,"https://assets.bonappetit.com/photos/68654d2edc87b38b614c77a5/16:9/w_3728,h_2097,c_limit/20250429_BA0825_Tomato_s2_Aguachile_0182_web-tight-crop.jpg"
Corn Furikake Fried Rice,,"['Remove dark green tops from 4 scallions and thinly slice; set aside for serving. Thinly slice white and pale green parts. Set aside separately.', 'Heat 2 Tbsp. vegetable oil in a large skillet over medium-high. Add 2½ cups (packed) fresh corn kernels (from about 3 ears) and cook, stirring occasionally, until lightly browned, about 4 minutes (be careful as corn may pop).', 'Add 6 garlic cloves, finely chopped, one 1"" piece ginger, peeled, finely chopped, 1 Tbsp. nori komi furikake, and reserved white and pale green scallion parts; cook, stirring often, until fragrant and scallions are softened, about 1 minute. Add 1½ cups (lightly packed) chilled cooked rice, 1 Tbsp. soy sauce, and remaining 1 Tbsp. vegetable oil; cook, stirring occasionally, until rice is slightly crisp underneath, about 4 minutes. Season with kosher salt.', 'Scatter reserved dark green scallion parts over fried rice and sprinkle generously with more furikake to serve.']",20,4 servings,www.bonappetit.com,"https://assets.bonappetit.com/photos/681e824362fea75f3e70a961/16:9/w_4992,h_2808,c_limit/corn-furikake-fried-rice_RECIPE_V4_050725_2436_VOG_final.jpg"
Chocolate Mug Cake,,"['Using a fork or small whisk, mix ⅓ cup (42 g) all-purpose flour, ¼ cup (50 g) sugar, 2 Tbsp. Dutch-process cocoa powder, ½ tsp. baking powder, and a large pinch of kosher salt in a large microwave-safe mug to combine. Add 2 Tbsp. vegetable oil and ¼ cup room-temperature water and stir until mixture is smooth.', 'Microwave cake on 50% power until cooked through, about 3 minutes. Let cool 2 minutes. Top with whipped cream or ice cream if desired. Editor’s note: Head this way for more great chocolate dessert recipes from our friends at Epicurious →']",5,1 serving,www.bonappetit.com,"https://assets.bonappetit.com/photos/682f71e2f651251611c51611/16:9/w_4947,h_2783,c_limit/mug-cake_RECIPE_V2_052025_12260_VOG_final.jpg"
Speedy Chicken Stroganoff,,"['Lightly season 4 small thin-sliced skinless, boneless chicken breasts (about 1½ lb. total) all over with kosher salt and freshly ground pepper. Heat 3 Tbsp. extra-virgin olive oil in a large skillet over medium-high. Working in 2 batches and adding more oil between batches if needed, cook chicken in a single layer, undisturbed, until golden brown underneath, about 5 minutes. Turn and cook on other side until nearly cooked through, 2–3 minutes. Transfer to a plate. (The pan may have browned bits stuck to it, but that flavorful fond will be deglazed shortly.)', 'Increase heat to high; add 2 Tbsp. extra-virgin olive oil to pan. Arrange 1 lb. crimini mushrooms, sliced ¼"" thick, in pan in a single layer as much as possible and cook, undisturbed, until golden underneath, about 5 minutes. Stir; season lightly with salt (this will help draw out water from the mushrooms) and cook, undisturbed, until golden, about 5 minutes. Continue to cook, stirring occasionally, until liquid released from mushrooms is mostly evaporated and mushrooms are deep golden brown, 2–3 minutes more. Transfer to a large plate, spreading out to keep from steaming.', 'Reduce heat to medium and heat remaining 2 Tbsp. extra-virgin olive oil in pan. Add 1 medium onion, thinly sliced, and 4 garlic cloves, thinly sliced, season with salt and pepper, and cook, stirring occasionally, until slightly softened, 3–4 minutes. Add ½ cup dry white wine; simmer, stirring occasionally and scraping up any browned bits, until almost completely evaporated, 1–2 minutes. Add 1 Tbsp. all-purpose flour and ½ tsp. paprika; cook, stirring constantly, until a thin film starts to form on bottom of pan, 30–60 seconds. Gradually pour in 1½ cups low-sodium chicken broth, stirring constantly. Increase heat to medium-high; bring to a rapid simmer and cook until sauce is thick enough to lightly coat a spoon, about 3 minutes.', 'Reduce heat to low; add ⅓ cup crème fraîche, 3 Tbsp. unsalted butter, cut into pieces, 1 tsp. Dijon mustard, 2 dashes Worcestershire sauce, and ½ tsp. Diamond Crystal or ¼ tsp. Morton kosher salt. Cook, stirring often, until butter is melted and emulsified, about 2 minutes. Taste sauce; season with more salt if needed. Return chicken and mushrooms to pan and cook, basting with sauce with a large spoon, until warmed through, about 1 minute. Remove from heat; top stroganoff with chopped parsley. Serve over cooked egg noodles, mashed potatoes, steamed rice, or country-style bread.']",40,4 servings,www.bonappetit.com,"https://assets.bonappetit.com/photos/6944522b831767ab04833ef9/16:9/w_4000,h_2250,c_limit/20251104_05_WKNT_Chicken%20Stroganoff_036_FINAL.jpg"
Harissa Scampi,,"['Place 1 lb. extra-jumbo shrimp, peeled and deveined, tails left on, in a medium bowl and lightly season with kosher salt and freshly ground pepper. Finely grate 2 garlic cloves from 1 head of garlic, cloves separated, over, then drizzle lightly with extra-virgin olive oil, and toss to coat. Let sit at least 5 minutes and up to 30 minutes. Thinly slice remaining garlic cloves; set aside.', 'Heat 1 Tbsp. extra-virgin olive oil in a large skillet over medium-high. Arrange shrimp in pan in a single layer and cook, undisturbed, until golden brown underneath, 2–3 minutes. Turn and cook until shrimp are nearly cooked through and beginning to curl, about 1 minute. Transfer to a large plate.', 'Add remaining 1 Tbsp. extra-virgin olive oil to same pan; reduce heat to medium. Cook reserved sliced garlic, stirring often, until softened and light golden around the edges, 2–3 minutes. Add 1 cup dry white wine and 2 Tbsp. harissa paste and cook, swirling pan occasionally, until wine is reduced by about three quarters and sauce is beginning to thicken, about 5 minutes.', 'Add 3 Tbsp. unsalted butter and swirl pan constantly until butter is incorporated into sauce. Return shrimp to pan and bring sauce to a simmer. Season with salt (it might need a good couple of pinches at least; it may start out tasting somewhat sharp from the wine until it is balanced out by the salt), then stir in ¼ cup chopped parsley.', 'Transfer shrimp and sauce to a large shallow bowl; top with remaining ¼ cup chopped parsley.']",20,4 servings,www.bonappetit.com,"https://assets.bonappetit.com/photos/695d399a3cc459dd12acafeb/16:9/w_4000,h_2250,c_limit/20251110_BA_0226_ITALIAN%20AMERICAN%20REMIX_04_Harissa%20Scampi_122_FINAL.jpg"
Chicken Cordon Bleu,,"['Place a rack in middle of oven; preheat to 375°. Trim any fat around edges of 4 skinless, boneless chicken breasts (about 1½ lb. total). Working one at a time, place chicken between sheets of parchment paper and pound with a meat mallet or rolling pin until about ¼"" thick. Season chicken all over with kosher salt and freshly ground black pepper.', 'Arrange chicken smooth side down on a surface. Cover half of each breast with 1 of 4 thin slices ham or prosciutto (about 4 oz. total), and 1 of 4 thin slices Gruyère or Swiss cheese (about 4 oz. total), leaving a border around edges. Fold breasts in half over ham and cheese and press edges together to seal firmly.', 'Mix together ¾ cup fine dry breadcrumbs, ¼ cup finely chopped parsley, 1 tsp. Diamond Crystal or ½ tsp. Morton kosher salt, and ½ tsp. freshly ground pepper in a shallow bowl. Whisk 1 large egg and 1 Tbsp. water in another shallow bowl. Spread out ½ cup all-purpose flour on a plate.', 'Press both sides of chicken in flour, shaking off any excess, then dip both sides into egg mixture, letting excess drip back into bowl. Coat all over with breadcrumb mixture, patting to adhere. Transfer to a large plate.', 'Heat 3 Tbsp. vegetable oil in a large heavy skillet over medium-high. Cook chicken, turning occasionally, until browned on all sides, 2–3 minutes per side. Transfer to a wire rack set inside a rimmed baking sheet; season with salt. Bake chicken until an instant-read thermometer inserted into the thickest part registers 165°, about 5 minutes. Editor’s note: This recipe is from the 2019 edition of the ‘Joy of Cooking,’ our February 2020 Cookbook Club pick. It has been updated and adapted for style. Head this way for more of our best chicken breast recipes →']",35,4 servings,www.bonappetit.com,"https://assets.bonappetit.com/photos/5e2f3838ac861400082fcca3/16:9/w_2000,h_1125,c_limit/0220-Chicken-Cordon-Bleu-Lede.jpg"
Steakhouse Salad With Black Pepper Dressing,,"['Season one 1-lb. New York strip steak, 1""–1¼"" thick, all over with kosher salt and freshly ground pepper; set aside.', 'Cook 4 thick-cut slices bacon (about 6 oz.), cut into ¼""-thick pieces, in a large skillet over medium heat, stirring often, until browned and crisp, 6–8 minutes. Using a slotted spoon, transfer bacon to paper towels.', 'Add reserved steak to same pan; cook, turning every 2 minutes or so, until deeply browned and an instant-read thermometer inserted into the thickest part registers 125°, 8–10 minutes for medium-rare. Transfer to a cutting board and let rest 10 minutes.', 'Meanwhile, whisk 1 garlic clove, finely grated, 1 cup sour cream, ½ cup mayonnaise, 1 Tbsp. Worcestershire sauce, and 1 tsp. freshly ground pepper in a medium bowl; season dressing with salt. Spread over a platter.', 'Place bacon, juice of 1 lemon, 8 oz. radicchio and/or frisée (about 1 medium head of either or ½ head of each), torn into 2"" pieces, ½ cup crumbled blue cheese, ½ cup thinly sliced chives, and a pinch of kosher salt in a large bowl. Drizzle with extra-virgin olive oil; toss to combine. Mound on platter.', 'Slice steak against the grain on a diagonal; arrange over salad. Top with more crumbled blue cheese and thinly sliced chives.']",30,2 servings,www.bonappetit.com,"https://assets.bonappetit.com/photos/691bb80f0647afc4ec351c42/16:9/w_4000,h_2250,c_limit/20250902_1225_WKNT_03_Winter%20Steakhouse%20Salad_070_FINAL_COLOR%20ALT.jpg"
BA’s Best Chicken and Dumplings,,"['Bring 4 chicken legs (thigh and drumstick), 1 leek, pale-green and white parts only, 1 whole carrot, 1 whole celery stalk, ½ medium yellow onion, chopped, 3 garlic cloves, smashed, 4 sprigs thyme, parsley stems from ½ bunch, 1 bay leaf, 2 tsp. whole peppercorns, and 3 quarts water to a simmer in a large Dutch oven or wide pot over medium-high heat. Cook, uncovered, until chicken is cooked through, 40–50 minutes. Transfer cooked chicken to a plate and let sit until cool enough to handle. Shred chicken into bite-size pieces, discarding skin, bones, and excess fat. Cover shredded chicken with foil to keep warm; set aside.', 'Strain chicken stock through a fine-mesh sieve into a large bowl; discard solids. Wipe out pot, pour stock back in, and bring to a simmer. Stir in 1 Tbsp. plus 1 tsp. Diamond Crystal or 2 tsp. Morton kosher salt.', 'Heat ¼ cup plus 1 Tbsp. chicken fat (schmaltz) or unsalted butter, melted, in a large skillet over medium. Cook 3 carrots, chopped into ½"" rounds, 3 celery stalks, chopped into ½"" pieces, and remaining ½ medium yellow onion, chopped, stirring occasionally, until vegetables are softened but not completely tender, 8–10 minutes; season with salt and freshly ground black pepper. Add ½ cup (63 g) all-purpose flour and cook, stirring, until vegetables are coated, about 1 minute. Scrape vegetable mixture into simmering stock and whisk until liquid is thickened and no lumps remain; continue to cook until vegetables are tender, 10–15 minutes.', 'Meanwhile, whisk 2 tsp. baking powder, ¼ tsp. baking soda, 1 tsp. Diamond Crystal or ½ tsp. Morton kosher salt, ¼ tsp. freshly ground pepper, and remaining 1 cup (125 g) all-purpose flour in a medium bowl. Whisk ½ cup plus 2 Tbsp. buttermilk and remaining 3 Tbsp. chicken fat (schmaltz) or unsalted butter, melted, in a small bowl. Fold buttermilk mixture into dry ingredients just until dumpling dough comes together (be careful not to overmix or dumplings will be tough).', 'Add ½ cup heavy cream and reserved chicken to stew and return to a simmer. Drop tablespoon-size portions of dough into stew (don’t worry if they aren’t perfect, they will puff up as they cook). Reduce heat to low, cover, and cook 10 minutes. Uncover and check dumplings for doneness: They should be about 5 times larger and should cover entire surface of stew. To be extra sure, you can remove a dumpling and cut it in half to see if it’s cooked through; the interior should look like a soft dinner roll. If they’re not fully cooked, cover and cook 2 minutes more.', 'Divide chicken soup and dumplings among bowls, then top with chopped chives. Do Ahead: Chicken soup, without dumplings, can be made 3 days ahead; cover and chill. Editor’s note: This recipe was first printed online in February 2017; it has been updated for style. Head this way for more comfort food favorites→']",90,6 servings,www.bonappetit.com,"https://assets.bonappetit.com/photos/58a35448476e2c92337165d3/16:9/w_4991,h_2807,c_limit/bas-best-chicken-and-dumplings.jpg"
